Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Default,LoanID,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner
52.0,140468.0,166944.0,724.0,76.0,3.0,17.22,24.0,0.46,0.0,33XYCX0DS9,High School,Full-time,Married,Yes,No,Education,Yes
46.0,48645.0,82670.0,328.0,106.0,2.0,15.04,60.0,0.67,0.0,B79DS72E3I,PhD,Full-time,Single,Yes,Yes,Auto,No
42.0,41928.0,33348.0,318.0,84.0,3.0,5.41,60.0,0.74,0.0,7J26Q1YMZS,PhD,Self-employed,Divorced,No,Yes,Business,No
20.0,130666.0,202762.0,658.0,59.0,2.0,13.47,12.0,0.76,0.0,H7383RB81B,Bachelor's,Part-time,Married,No,No,Other,No
62.0,95350.0,103665.0,454.0,97.0,3.0,22.14,36.0,0.3,0.0,CG19DE9PT4,PhD,Self-employed,Married,Yes,No,Business,No
53.0,53030.0,6932.0,742.0,16.0,3.0,3.81,12.0,0.28,0.0,1IBIITGDWO,Master's,Self-employed,Divorced,No,No,Business,No
23.0,37661.0,248074.0,711.0,107.0,3.0,12.58,24.0,0.23,0.0,TJL2ICA0WD,Master's,Part-time,Single,No,No,Auto,Yes
37.0,130695.0,52639.0,799.0,54.0,2.0,15.14,48.0,0.41,0.0,MF3AMP7VHP,PhD,Part-time,Divorced,Yes,Yes,Other,No
45.0,135090.0,216543.0,730.0,70.0,4.0,13.31,12.0,0.62,0.0,FZGQX2B25C,Bachelor's,Part-time,Single,No,No,Other,Yes
46.0,30056.0,224090.0,362.0,41.0,4.0,14.44,36.0,0.53,1.0,I08GX2M1KH,Master's,Part-time,Divorced,No,No,Business,No
18.0,91228.0,243742.0,683.0,84.0,3.0,19.8,48.0,0.32,1.0,56TWQEMNYA,High School,Full-time,Married,Yes,Yes,Business,No
58.0,131924.0,112690.0,497.0,26.0,3.0,16.57,48.0,0.22,1.0,HOTL5W5K4V,Bachelor's,Self-employed,Divorced,Yes,Yes,Other,No
46.0,39343.0,213917.0,465.0,43.0,3.0,8.44,60.0,0.32,1.0,7M1B5NVRDE,Master's,Part-time,Divorced,No,No,Business,No
41.0,36218.0,123253.0,813.0,119.0,1.0,5.56,36.0,0.62,0.0,DXKKWBNYJ1,PhD,Part-time,Married,No,No,Auto,Yes
59.0,19423.0,89676.0,827.0,4.0,4.0,6.38,60.0,0.76,1.0,4CXNYLY3AE,High School,Full-time,Divorced,Yes,No,Other,Yes
58.0,60789.0,14418.0,743.0,35.0,1.0,14.47,60.0,0.66,0.0,OWIV17B1XA,High School,Unemployed,Single,No,No,Business,No
49.0,35267.0,124241.0,788.0,95.0,4.0,23.48,24.0,0.18,0.0,L7O5F41G1F,High School,Full-time,Divorced,No,No,Home,Yes
29.0,94550.0,104524.0,458.0,119.0,1.0,13.04,36.0,0.51,0.0,KVPZKVNHQ4,High School,Part-time,Single,Yes,Yes,Auto,Yes
57.0,38359.0,54029.0,597.0,35.0,3.0,6.26,36.0,0.4,0.0,RR6X4XEA20,Bachelor's,Self-employed,Single,No,Yes,Other,Yes
47.0,28446.0,120063.0,617.0,70.0,4.0,10.31,48.0,0.9,0.0,R9KVWU1HI9,PhD,Part-time,Single,No,Yes,Auto,No
48.0,108335.0,14143.0,743.0,51.0,2.0,12.66,60.0,0.9,0.0,E8P50LKXFJ,Bachelor's,Part-time,Married,Yes,No,Home,Yes
66.0,110893.0,221119.0,361.0,78.0,1.0,20.71,24.0,0.87,1.0,TQ28N2BI9V,Master's,Part-time,Single,Yes,Yes,Other,Yes
66.0,42031.0,150092.0,318.0,9.0,3.0,15.03,36.0,0.17,0.0,K394SZ3NJW,PhD,Part-time,Divorced,No,No,Business,Yes
57.0,51862.0,113173.0,614.0,76.0,3.0,10.15,36.0,0.62,0.0,L3R9I21PU8,Master's,Self-employed,Single,Yes,No,Auto,Yes
24.0,104432.0,217746.0,424.0,94.0,3.0,20.02,12.0,0.84,0.0,AR35MD6TDJ,High School,Unemployed,Married,No,No,Other,Yes
27.0,97318.0,102284.0,436.0,27.0,1.0,12.51,24.0,0.89,0.0,ZF6PIDV6ZT,Master's,Full-time,Single,No,Yes,Auto,No
50.0,116395.0,196110.0,377.0,54.0,1.0,19.94,60.0,0.27,0.0,IG2EIYXLLX,Bachelor's,Self-employed,Divorced,No,No,Education,Yes
26.0,146467.0,118820.0,379.0,74.0,3.0,20.66,48.0,0.89,0.0,D2MXF7ONIG,PhD,Unemployed,Divorced,Yes,No,Home,Yes
50.0,20028.0,112278.0,445.0,80.0,2.0,7.6,24.0,0.52,0.0,OQUTIL3UTQ,High School,Self-employed,Divorced,No,No,Home,Yes
39.0,45023.0,137305.0,343.0,37.0,1.0,17.05,60.0,0.65,0.0,U47BN2H3V5,Bachelor's,Full-time,Single,Yes,No,Auto,No
58.0,144618.0,152986.0,827.0,115.0,2.0,21.25,60.0,0.44,0.0,LO9FFLN24O,PhD,Self-employed,Divorced,No,Yes,Other,Yes
67.0,97764.0,14601.0,728.0,38.0,1.0,14.64,24.0,0.58,0.0,V98VKW4JFA,Bachelor's,Full-time,Divorced,No,Yes,Other,Yes
57.0,109428.0,115912.0,390.0,35.0,1.0,23.75,12.0,0.23,0.0,HKFRH0ZSB4,Master's,Self-employed,Single,No,No,Other,Yes
65.0,42313.0,245400.0,582.0,110.0,3.0,5.34,36.0,0.62,0.0,3FHFAB5XO7,Master's,Unemployed,Divorced,No,No,Business,No
32.0,65389.0,65472.0,542.0,22.0,2.0,11.12,36.0,0.5,0.0,HUL6LWLEOH,Master's,Self-employed,Divorced,No,No,Education,Yes
51.0,119726.0,94839.0,711.0,3.0,3.0,13.46,36.0,0.17,0.0,7G9BG5911A,High School,Part-time,Single,No,Yes,Home,Yes
43.0,68801.0,123928.0,742.0,42.0,3.0,13.02,60.0,0.89,0.0,DWGRYDNIZX,Bachelor's,Full-time,Divorced,No,No,Business,No
52.0,117488.0,150206.0,340.0,66.0,1.0,8.84,48.0,0.61,0.0,GSR7R9Y271,Bachelor's,Full-time,Divorced,Yes,No,Other,No
